"target_mu","actual_mu_min","N_base","eta","mu_min_used","eta_over_mu","mean_holonomy_error","std_holonomy_error","mean_unitarity_error","max_unitarity_error","trials"
0.95,0.9499999999999997,80,"1/1000000",0.9499999999999997,1.0526315789473687e-6,3.3355681015649406e-6,2.846950843208859e-6,4.833911568939212e-15,1.1670699736561009e-14,20
0.7,0.7,80,"1/1000000",0.7,1.4285714285714286e-6,3.882139682350846e-6,3.291105433214774e-6,5.606637113155929e-15,1.581299475790666e-14,20
0.5,0.4999999999999999,80,"1/1000000",0.4999999999999999,2.0000000000000003e-6,6.2975517363578815e-6,3.215133607213979e-6,5.289416638095385e-15,1.3547678138933922e-14,20
0.3,0.29999999999999993,80,"1/1000000",0.29999999999999993,3.3333333333333337e-6,4.162748019708386e-6,3.79981728113791e-6,5.670467504595702e-15,1.1452059475786384e-14,20
0.15,0.15,80,"1/1000000",0.15,6.666666666666667e-6,7.539579096469522e-6,5.291653291043609e-6,4.7727045221123735e-15,1.0482057668001738e-14,20
