"N","eigenphase_1","eigenphase_2"
10,-0.710409339175189,0.7104093391751889
20,-0.7036022505119301,0.70360225051193
40,-0.7019063008230265,0.7019063008230264
80,-0.7014827829724481,0.7014827829724487
160,-0.70137693391461,0.7013769339146096
320,-0.7013504735670759,0.7013504735670758
640,-0.70134385860026,0.701343858600259
1280,-0.701342204866064,0.7013422048660639
