"N","eigenphase_1","eigenphase_2"
10,-1.4116257636391536,1.4116257636391536
20,-1.4611170749740006,1.4611170749740006
40,-1.4734380127204025,1.4734380127204025
80,-1.4765148199856373,1.4765148199856373
160,-1.477283804802128,1.477283804802128
320,-1.4774760374002758,1.4774760374002758
640,-1.4775240946987611,1.4775240946987611
1280,-1.477536108970181,1.477536108970181
