"N","frobenius_error_to_exact_reference","unitarity_error","min_singular_value","max_projector_step_distance","max_frame_orthonormality_error","frame_closure_error"
10,0.09320009376342507,5.417530028389872e-15,0.920738915091769,0.5517967927337599,3.236828524569469e-16,3.0835658686920554e-16
20,0.023225423120210274,1.118518704302234e-14,0.9796876501920252,0.283591636199757,3.236828524569469e-16,3.0835658686920554e-16
40,0.005801242804064007,2.8582799039302544e-14,0.9948904590842713,0.14277937122068768,3.236828524569469e-16,3.0835658686920554e-16
80,0.0014499842447043836,8.018071306342336e-15,0.9987206428555113,0.07151332091678743,3.236828524569469e-16,3.0835658686920554e-16
160,0.0003624755504829492,1.5430901913378386e-14,0.9996800373740833,0.035772136524148,3.236828524569469e-16,3.0835658686920554e-16
320,0.000090617604028792,5.0788642255028616e-14,0.9999200016332973,0.017888003447350333,3.236828524569469e-16,3.0835658686920554e-16
640,0.000022654320755282002,3.449690911836304e-13,0.9999799999264121,0.00894424364299644,3.236828524569469e-16,3.0835658686920554e-16
1280,5.6635751712933615e-6,7.256209773948403e-13,0.9999949999514831,0.004472152062075134,3.236828524569469e-16,3.0835658686920554e-16
