"N","frobenius_error_to_continuum_reference","unitarity_error"
10,0.015661771106194062,6.389813363550566e-16
20,0.0037725573814939876,2.3128906185831588e-15
40,0.0009357243742434556,2.7152273987852913e-15
80,0.000233478442353377,6.431632274743855e-15
160,0.000058332764209485966,4.643068966264981e-15
320,0.00001457213242958097,1.3576761169784532e-14
640,3.633924290017283e-6,1.7565398417188503e-14
1280,9.008810419080525e-7,3.248080745794277e-14
