"N","holonomy_frobenius_error","estimated_holonomy_unitarity_error","left_correction_error","left_correction_fidelity","left_corrected_unitarity_error","right_correction_error","right_correction_fidelity","right_corrected_unitarity_error","estimated_holonomy_eigenphases"
10,0.01566177125422161,6.389813363550566e-16,0.01566177125422166,0.9998773582210715,8.820859921416069e-16,0.015661771254221548,0.9998773582210717,8.750712804614062e-16,"{-0.710409339175189, 0.7104093391751889}"
20,0.0037725574170611367,2.3128906185831588e-15,0.0037725574170611436,0.9999928839179253,2.6709604452329875e-15,0.0037725574170611106,0.9999928839179251,2.982207118426112e-15,"{-0.7036022505119301, 0.70360225051193}"
40,0.0009357243827068428,2.7152273987852913e-15,0.0009357243827069012,0.9999995622099884,2.232987377039681e-15,0.0009357243827068188,0.9999995622099884,2.434909185329438e-15,"{-0.7019063008230265, 0.7019063008230264}"
80,0.0002334784430295238,6.431632274743855e-15,0.0002334784430295324,0.999999972743904,6.691367911952185e-15,0.0002334784430294289,0.9999999727439037,6.7295681201916086e-15,"{-0.7014827829724481, 0.7014827829724487}"
160,0.000058332758633378,4.643068966264981e-15,0.000058332758633450666,0.9999999982986418,4.944895525683957e-15,0.0000583327586332935,0.9999999982986421,4.700454054877079e-15,"{-0.70137693391461, 0.7013769339146096}"
320,0.000014572108038613179,1.3576761169784532e-14,0.00001457210803862407,0.9999999998938354,1.3510908464898931e-14,0.000014572108038633194,0.9999999998938354,1.340482240879487e-14,"{-0.7013504735670759, 0.7013504735670758}"
640,3.6338259624088524e-6,1.7565398417188503e-14,3.6338259624135073e-6,0.999999999993392,1.7806710618979925e-14,3.6338259624073947e-6,0.999999999993392,1.7749554974443022e-14,"{-0.70134385860026, 0.701343858600259}"
1280,9.004842008081888e-7,3.248080745794277e-14,9.004842008687451e-7,0.999999999999615,3.240577266816114e-14,9.004842007443491e-7,0.9999999999996152,3.239954957233488e-14,"{-0.701342204866064, 0.7013422048660639}"
