"N","frobenius_error_to_continuum_reference","unitarity_error","eigenphases","wilson_traces_r1_r2_r3"
10,0.015661771106194062,6.389813363550566e-16,"{-0.710409339175189, 0.7104093391751889}","{1.516189982729516 + 5.551115123125783*^-17*I, 0.2988320637293304 + 2.7755575615628914*^-16*I, -1.0631038011847167 + 4.996003610813204*^-16*I}"
20,0.0037725573814939876,2.3128906185831588e-15,"{-0.7036022505119301, 0.70360225051193}","{1.5250331928781997 - 1.6653345369377348*^-16*I, 0.32572623938027967 - 2.7755575615628914*^-16*I, -1.0282898660318804 - 5.551115123125783*^-17*I}"
40,0.0009357243742434556,2.7152273987852913e-15,"{-0.7019063008230265, 0.7019063008230264}","{1.527225451219264 + 3.3306690738754696*^-16*I, 0.33241757885188233 + 1.2212453270876722*^-15*I, -1.0195488643639845 + 1.887379141862766*^-15*I}"
80,0.000233478442353377,6.431632274743855e-15,"{-0.7014827829724481, 0.7014827829724487}","{1.5277722236182703 - 3.885780586188048*^-16*I, 0.3340879672595223 - 2.4424906541753444*^-15*I, -1.0173619069940754 - 4.385380947269368*^-15*I}"
160,0.000058332764209485966,4.643068966264981e-15,"{-0.70137693391461, 0.7013769339146096}","{1.5279088346656482 - 2.220446049250313*^-16*I, 0.33450540704934417 - 1.6653345369377348*^-16*I, -1.0168150679915229 + 2.7755575615628914*^-16*I}"
320,0.00001457213242958097,1.3576761169784532e-14,"{-0.7013504735670759, 0.7013504735670758}","{1.5279429822789674 - 2.3869795029440866*^-15*I, 0.3346097570955274 - 7.216449660063518*^-15*I, -1.0166783521228 - 9.325873406851315*^-15*I}"
640,3.633924290017283e-6,1.7565398417188503e-14,"{-0.70134385860026, 0.701343858600259}","{1.5279515188601853 - 7.827072323607354*^-15*I, 0.3346358439871573 - 2.1538326677728037*^-14*I, -1.0166441727749402 - 2.5868196473766147*^-14*I}"
1280,9.008810419080525e-7,3.248080745794277e-14,"{-0.701342204866064, 0.7013422048660639}","{1.5279536529853757 + 1.3877787807814457*^-15*I, 0.3346423656713124 + 4.496403249731884*^-15*I, -1.0166356279142579 + 6.106226635438361*^-15*I}"
