"N","gauge_covariance_error","unitarity_error","min_singular_value"
20,1.804795241946221e-15,1.8987735135852577e-15,0.9484642335951133
40,3.565967081107265e-15,4.454921199182045e-15,0.9852443786284585
80,6.847137929252437e-15,1.3716590926289478e-14,0.9962270342371167
160,9.54180670278024e-15,1.4462699960145175e-14,0.9990561500311405
320,6.227946231562644e-15,1.6280248123003881e-15,0.9997634179139369
