"N","frobenius_error_to_exact_reference","unitarity_error","min_singular_value","max_projector_step_distance","max_frame_orthonormality_error","frame_closure_error","eigenphases","wilson_traces_r1_r2_r3"
10,0.09320009376342507,5.417530028389872e-15,0.920738915091769,0.5517967927337599,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4116257636391536, 1.4116257636391536}","{0.31699861844587607, -1.8995118759034133, -0.9191412588287936}"
20,0.023225423120210274,1.118518704302234e-14,0.9796876501920252,0.283591636199757,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4611170749740006, 1.4611170749740006}","{0.21891897117429915, -1.9520744840599706, -0.6462651088803071}"
40,0.005801242804064007,2.8582799039302544e-14,0.9948904590842713,0.14277937122068768,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4734380127204025, 1.4734380127204025}","{0.1944091657219443, -1.9622050762832575, -0.5758798175775326}"
80,0.0014499842447043836,8.018071306342336e-15,0.9987206428555113,0.07151332091678743,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4765148199856373, 1.4765148199856373}","{0.18828378156806824, -1.9645492175984391, -0.558176537334093}"
160,0.0003624755504829492,1.5430901913378386e-14,0.9996800373740833,0.035772136524148,3.236828524569469e-16,3.0835658686920554e-16,"{-1.477283804802128, 1.477283804802128}","{0.1867525868624212, -1.9651234713002073, -0.5537444786317971}"
320,0.000090617604028792,5.0788642255028616e-14,0.9999200016332973,0.017888003447350333,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4774760374002758, 1.4774760374002758}","{0.18636979798890085, -1.9652662983976414, -0.5526360810156703}"
640,0.000022654320755282002,3.449690911836304e-13,0.9999799999264121,0.00894424364299644,3.236828524569469e-16,3.0835658686920554e-16,"{-1.4775240946987611, 1.4775240946987611}","{0.18627410138855444, -1.9653019591514018, -0.5523589577866022}"
1280,5.6635751712933615e-6,7.256209773948403e-13,0.9999949999514831,0.004472152062075134,3.236828524569469e-16,3.0835658686920554e-16,"{-1.477536108970181, 1.477536108970181}","{0.18625017727725715, -1.9653108714652143, -0.5522896754926694}"
